study,task_feature,questionnaire,n,r,t,p,ci_lower,ci_upper,p_bh
Study5,slope_hit_dec,PHQ4_Depression,181,-0.07741720122712038,-1.0388894912383972,0.30025741256900923,-0.22078190905469586,0.06922220379882844,0.7804933825129019
Study5,slope_hit_dec,MAIA_NotDistracting,181,-0.07691171004980073,-1.0320656232244219,0.30343380131844877,-0.22029812327598836,0.06972826835422176,0.7804933825129019
Study5,mean_arousal_overall,SPANE_Neg,181,-0.0765393352904545,-1.0270392700370294,0.3057878309842593,-0.2199416928706151,0.0701010172246522,0.7804933825129019
Study5,slope_miss_dec,Alexithymia,172,0.07795725535318526,1.0195410200048767,0.3093949190359502,-0.07252315201059854,0.2249674089764849,0.7804933825129019
Study5,slope_hit_dec,MAIA_Trusting,181,0.07589306222042166,1.0183168339131072,0.30990178423306397,-0.070747842387099,0.21932300103687719,0.7804933825129019
Study5,arousal_conf_r,MAIA_AttentionReg,173,-0.07576840748776013,-0.9936568175413882,0.32179395319188897,-0.22245388877328515,0.07427145445609737,0.7910078437735423
Study5,arousal_conf_r,MSES_selfdoubt,173,0.07569112102142253,0.9926374089785773,0.3222892192430046,-0.074348757479822,0.22238000187298765,0.7910078437735423
Study5,arousal_salience_diff,SPANE_Neg,181,0.07390230617819449,0.9914566218287464,0.32280099506935,-0.07273952436301331,0.21741648001983555,0.7910078437735423
Study5,mean_arousal_overall,MAIA_NotDistracting,181,0.07280431585746217,0.9766471429462008,0.3300619223166664,-0.07383752517149983,0.21636448029895453,0.7985033048645268
Study5,mean_Confidence,Alexithymia,181,-0.07255409784922726,-0.9732727528214214,0.33173115238857176,-0.21612469631274595,0.07408769583847453,0.7985033048645268
Study5,mean_threshold,Alexithymia,181,-0.07155958439277181,-0.9598627628098865,0.3384190320473883,-0.21517148255240925,0.07508183870536798,0.8011669822807236
Study5,slope_miss_dec,MAIA_BodyListen,172,-0.07330797284712812,-0.9583977379545178,0.33922326675552605,-0.22052338293189114,0.07717298656642207,0.8011669822807236
Study5,mean_arousal_overall,Alexithymia,181,-0.07108006425013016,-0.9533979581214588,0.34167415420795566,-0.2147117778999229,0.07556107602478343,0.8011669822807236
Study5,mean_threshold,MAIA_AttentionReg,181,0.06976487725755255,0.9356702388557483,0.35070359088608605,-0.07687513970067693,0.21345061241795565,0.8091187938764679
Study5,slope_hit_overall,MSES_selfdoubt,181,0.06971993488075165,0.9350645370087737,0.35101477087287947,-0.0769200346918472,0.2134075075926619,0.8091187938764679
Study5,slope_miss_acc,MAIA_EmoAware,170,0.07032688006278456,0.9138031244570481,0.3621298957897896,-0.08104525206542339,0.21852797038899,0.8277254760909476
Study5,arousal_salience_diff,PHQ4_Depression,181,-0.0676160337981053,-0.9067159718267399,0.36577597324226874,-0.21138900208646338,0.07902105221445581,0.8280804010889147
Study5,thresh_salience_diff,Alexithymia,181,-0.06725123100846472,-0.9018017616509311,0.36837400195499514,-0.21103888153327519,0.07938522253601081,0.8280804010889147
Study5,slope_miss_dec,PHQ4_Anxiety,172,0.06516392964475567,0.851443374980989,0.3957208829025429,-0.08530225107818772,0.21272412470364374,0.8822629520450137
Study5,conf_acc_r,Alexithymia,181,0.06237577869977114,0.8361592657981711,0.4041801170594628,-0.08424846798813582,0.20635610756309997,0.8898808499119875
Study5,slope_hit_dec,Alexithymia,181,-0.062177199084193384,-0.8334869202029197,0.4056809756951708,-0.20616523594340416,0.0844464024724499,0.8898808499119875
Study5,mean_threshold,MAIA_SelfReg,181,0.061724228930118724,0.827391535978064,0.4091168402183616,-0.08489785775212616,0.20572980711079025,0.8902382443151549
Study5,thresh_direction_diff,SPANE_Pos,181,0.06081236260227437,0.8151225766581395,0.4160853694577161,-0.08580649197363366,0.20485307994845497,0.8982160356547523
Study5,mean_Confidence,MAIA_NotDistracting,181,-0.059005086828130125,-0.7908121047196629,0.43010016824576314,-0.20311476505423653,0.0876066414267569,0.9211594154554927
Study5,Awareness,SPANE_Neg,181,-0.058536806128380525,-0.7845143349971371,0.43377536482743906,-0.20266420448202663,0.0880729194892043,0.921772650258308
Study5,Awareness,PHQ4_Depression,181,-0.056986199953490156,-0.763664373560712,0.4460726581603929,-0.2011718388149618,0.08961643591578834,0.9294617953781013
Study5,miss_rate,MAIA_Noticing,181,0.0564812061441808,0.7568752647463354,0.4501196726784057,-0.09011896880111754,0.20068566795616982,0.9294617953781013
Study5,thresh_direction_diff,MSES_selfdoubt,181,-0.056386857578436644,-0.7556069126212139,0.4508780616234537,-0.20059482822797173,0.09021284931394316,0.9294617953781013
Study5,slope_hit_acc,BIPS_total,181,0.0562964317586792,0.754391314041932,0.4516055915793944,-0.090302824096063,0.20050776303093712,0.9294617953781013
Study5,conf_acc_r,MAIA_NotDistracting,181,0.05441553727235469,0.7291105373611395,0.46688696547367925,-0.09217379438714973,0.19869625427004098,0.9294617953781013
Study5,slope_hit_acc,BARQ_total,181,0.054386166378142524,0.7287158307015733,0.4671278238743489,-0.09220300210578172,0.19866795904113677,0.9294617953781013
Study5,arousal_conf_r,PHQ4_Anxiety,173,-0.055587399680753796,-0.7280252275101676,0.46759386435875805,-0.20310318023248022,0.09439573387613308,0.9294617953781013
Study5,miss_rate,MAIA_total,181,0.05428746516591872,0.7273894285353466,0.4679377315667941,-0.09230115311651821,0.1985728708516916,0.9294617953781013
Study5,thresh_salience_diff,PHQ4_Anxiety,181,-0.054261851221672645,-0.7270452175041952,0.4681480366426466,-0.19854819407879232,0.09232662381248122,0.9294617953781013
Study5,mean_arousal_overall,BIPS_total,181,-0.05264778697287954,-0.7053576130881994,0.48150459105035903,-0.1969928166778097,0.09393127443112506,0.940015724405592
Study5,mean_threshold,MAIA_NotWorrying,181,-0.052645325712072075,-0.7053245462832679,0.4815251140499497,-0.19699044435267846,0.09393372075583545,0.940015724405592
Study5,slope_miss_acc,Alexithymia,170,-0.05399561079823682,-0.7008855757295795,0.4843440476069777,-0.2028611879248204,0.09730948610773103,0.940015724405592
Study5,slope_miss_overall,Alexithymia,180,-0.052102423775087434,-0.696078486118926,0.4872875630190753,-0.19686549313115198,0.09488397295429353,0.940015724405592
Study5,arousal_salience_diff,SPANE_Pos,181,0.05115726377136368,0.6853349127637612,0.49401916729614814,-0.09541242846614001,0.19555584281938898,0.9462902359475514
Study5,arousal_conf_r,MAIA_EmoAware,173,0.051226058201827476,0.6707482693322692,0.5032858455025194,-0.098728767923934,0.19890607887636638,0.9572989508859111
Study5,slope_miss_dec,MAIA_NotWorrying,172,-0.04974012672411006,-0.6493356592451822,0.5169977786346817,-0.19790159618363995,0.10064336359084619,0.9574311391542774
Study5,slope_hit_dec,BIPS_total,181,0.04794601150182567,0.6422125050129248,0.5215568539319135,-0.09860129155409005,0.19245785135417517,0.9574311391542774
Study5,conf_acc_r,SPANE_Pos,181,-0.0478660484718319,-0.6411389791122355,0.5222524224002072,-0.19238067184311428,0.09868065868703939,0.9574311391542774
Study5,arousal_salience_diff,MAIA_BodyListen,181,0.047833534870494486,0.6407024785125633,0.5225353811868778,-0.09871292945876929,0.19234928953135183,0.9574311391542774
Study5,slope_miss_overall,MAIA_total,180,-0.047856090348171704,-0.6392122640993552,0.5235065875679658,-0.19277009558410135,0.09910089228501048,0.9574311391542774
Study5,slope_hit_acc,MAIA_NotDistracting,181,0.047595635988417845,0.6375087077845144,0.5246081370598129,-0.09894904220187424,0.192119659191649,0.9574311391542774
Study5,Awareness,MSES_selfdoubt,181,-0.046457111745632385,-0.6222256197444772,0.5345853047184059,-0.19102048697092466,0.1000787900286014,0.9574311391542774
Study5,arousal_conf_r,SPANE_Pos,173,-0.046650042151839814,-0.6106933237535075,0.5422134692600377,-0.19449655565965607,0.10326897838857584,0.9574311391542774
Study5,Awareness,SPANE_Pos,181,0.045297223303101875,0.606658245926285,0.5448463933489203,-0.10122934895591428,0.18990031604540958,0.9574311391542774
Study5,slope_miss_acc,MAIA_NotDistracting,170,-0.046745743152162296,-0.6065571562611256,0.5449636136526896,-0.19588179045899498,0.10450378721175689,0.9574311391542774
Study5,miss_rate,MAIA_BodyListen,181,0.04495886408080445,0.6021174437704472,0.5478578973145458,-0.10156491276825463,0.1895734721547773,0.9574311391542774
Study5,conf_acc_r,PHQ4_Depression,181,-0.04457712763162457,-0.5969947656842876,0.551265237733121,-0.18920468880865507,0.10194345541608679,0.9574311391542774
Study5,Awareness,MAIA_NotDistracting,181,-0.04390507236484975,-0.5879768155557642,0.5572889242288687,-0.18855533860239315,0.10260978483324458,0.9574311391542774
