study,task_feature,questionnaire,n_s4,r_s4,t,p_s4,ci_lower,ci_upper,p_bh_s4,r_s5,p_s5,p_bh_s5,n_s5,same_direction,replicated,sig_s4,sig_s5
Study4,conf_acc_r,MAIA_Trusting,62,-0.10495045081164547,-0.8174571425094529,0.4169015600175642,-0.34565782623872865,0.14871608919048374,0.9903863843384291,-0.15737106392770422,0.03436656173909692,0.40642194752323313,181,TRUE,TRUE,FALSE,FALSE
Study4,slope_hit_dec,MAIA_Noticing,63,0.10372748648150786,0.8145313490578241,0.4185092433129304,-0.1478369628181468,0.3426854871868696,0.9903863843384291,0.04171316084528613,0.5771531241704022,0.9574311391542774,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_threshold,MAIA_EmoAware,63,0.10250285517180566,0.8048120698157158,0.42405393225659027,-0.14904748037419988,0.3415925896934683,0.9903863843384291,0.08893553033324966,0.23381991656259046,0.75713115839315,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_dec,PHQ4_Anxiety,62,-0.10192561492911904,-0.7936457069339583,0.4305292975615417,-0.342962748243949,0.15170465104764555,0.9903863843384291,0.06516392964475567,0.3957208829025429,0.8822629520450137,172,FALSE,FALSE,FALSE,FALSE
Study4,arousal_conf_r,BARQ_total,61,0.10217225300697402,0.788928649873212,0.43331254873071046,-0.15360048709437174,0.34511353404832057,0.9903863843384291,0.0014580255083976995,0.9848105410346599,0.9962431358547761,173,TRUE,FALSE,FALSE,FALSE
Study4,slope_hit_dec,MAIA_SelfReg,63,0.09923815995931838,0.778919780328292,0.4390382928215527,-0.15227087035470122,0.33867591542425857,0.9903863843384291,0.017981641299402242,0.8101274385832936,0.9698366158213383,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_hit_dec,MAIA_AttentionReg,63,-0.09914375178442393,-0.778171411493086,0.43947597447778153,-0.338591502775065,0.15236400453596655,0.9903863843384291,0.03431369696608436,0.6465355558172218,0.962396519053323,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_hit_acc,MAIA_NotDistracting,63,-0.09898557729082916,-0.7769176178236439,0.44020982760689376,-0.33845006646797593,0.15252003452897028,0.9903863843384291,0.047595635988417845,0.5246081370598129,0.9574311391542774,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_hit_dec,BARQ_total,63,0.09782910149327222,0.7677524409186648,0.445596096011981,-0.15366045022542774,0.33741564126150525,0.9903863843384291,-0.003409512319159415,0.9636668230052241,0.9962431358547761,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_hit_acc,SPANE_Pos,63,-0.09632145524666515,-0.7558089154546481,0.4526725988737652,-0.3360662375741709,0.15514615429594797,0.9903863843384291,-0.02602515342743729,0.7280160860631317,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_Noticing,63,-0.09630319253637558,-0.7556642712081254,0.4527586970079587,-0.3360498856822561,0.15516414424169822,0.9903863843384291,-0.12306304143207393,0.09980012691684466,0.548237048417462,180,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_NotWorrying,63,0.09610473913228572,0.7540925309681719,0.4536948714997876,-0.15535962287231034,0.3358721870409353,0.9903863843384291,-0.02078102204291247,0.781861345069443,0.962396519053323,180,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,SPANE_Neg,63,-0.09567434065560809,-0.7506841099055543,0.45572886669429025,-0.335486742078181,0.15578350211126324,0.9903863843384291,-0.025388408799617665,0.7351350340548479,0.962396519053323,180,TRUE,FALSE,FALSE,FALSE
Study4,thresh_salience_diff,MAIA_SelfReg,62,-0.09644878521476145,-0.7505883593438547,0.4558340133120322,-0.33807286673790105,0.157104028352001,0.9903863843384291,-0.024248574106587012,0.7459238888234645,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_threshold,SPANE_Neg,63,0.0956153358790197,0.7502168711485994,0.4560081033870903,-0.15584160592624738,0.3354338938710269,0.9903863843384291,0.0873846713314195,0.24210779123087794,0.7731432352286772,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_arousal_overall,PHQ4_Depression,63,-0.09526961454454931,-0.7474793816981347,0.45764609402793965,-0.3351242148307065,0.15618201337428692,0.9903863843384291,-0.11912924259177045,0.11019670562487698,0.548237048417462,181,TRUE,FALSE,FALSE,FALSE
Study4,Awareness,MAIA_EmoAware,62,-0.094918901694481,-0.7385733032096503,0.46304549102920767,-0.3367046047333704,0.15860957290287286,0.9903863843384291,-0.15062772203439312,0.042968938070388,0.41953130748872874,181,TRUE,TRUE,FALSE,FALSE
Study4,mean_threshold,MAIA_AttentionReg,63,0.09215907600772867,0.722861678242293,0.47252741585315716,-0.15924205756434456,0.33233562481963014,0.9903863843384291,0.06976487725755255,0.35070359088608605,0.8091187938764679,181,TRUE,FALSE,FALSE,FALSE
Study4,arousal_salience_diff,MAIA_EmoAware,63,0.09100072691339854,0.7136996619435936,0.47813480498780614,-0.16038036973745176,0.33129609361845225,0.9903863843384291,0.0196820157865051,0.7925618392203837,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,arousal_conf_r,MAIA_Noticing,61,0.0918471894969776,0.7084863403303421,0.48143323985008546,-0.1637611864254838,0.33589891341249434,0.9903863843384291,-0.08691185569824553,0.25553302327338906,0.7785597968717045,173,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_AttentionReg,63,0.08961920977836167,0.7027763037662106,0.48486862017103616,-0.16173711589171388,0.33005552263253407,0.9903863843384291,-0.1591005258890816,0.03290061335396581,0.40642194752323313,180,FALSE,FALSE,FALSE,FALSE
Study4,miss_rate,MAIA_Noticing,63,-0.08896001355334035,-0.6975656264978491,0.48809925125623677,-0.32946328656352314,0.16238415784565685,0.9903863843384291,0.0564812061441808,0.4501196726784057,0.9294617953781013,181,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_acc,MAIA_BodyListen,58,0.09198731479568902,0.6913010244477802,0.4922323796629394,-0.17035611014304283,0.34215354379603946,0.9903863843384291,0.014870773779517066,0.8473730522323808,0.9784491404298497,170,TRUE,FALSE,FALSE,FALSE
Study4,arousal_conf_r,MAIA_BodyListen,61,0.08937991144129744,0.6892989726902236,0.4933372300189872,-0.16618118639689672,0.3336900497835229,0.9903863843384291,0.026121636353585633,0.7329952326436255,0.962396519053323,173,TRUE,FALSE,FALSE,FALSE
Study4,arousal_salience_diff,MAIA_SelfReg,63,-0.08714922041907348,-0.683256778986505,0.49703164864443006,-0.3278354565033684,0.16416045180906974,0.9903863843384291,0.040152299464124346,0.5914970268363442,0.9576618529731287,181,FALSE,FALSE,FALSE,FALSE
Study4,Awareness,MAIA_SelfReg,62,0.08761926378409382,0.6813162161235622,0.4982927349303514,-0.16577688413962677,0.33016203347117085,0.9903863843384291,-0.11113223305589257,0.13638463162128947,0.5796346843904803,181,FALSE,FALSE,FALSE,FALSE
Study4,mean_threshold,MAIA_BodyListen,63,0.08666090662137728,0.6793993085421975,0.49945488978251285,-0.16463918341840966,0.32739623727588074,0.9903863843384291,0.08103005948129252,0.27819657665566067,0.7791059902251557,181,TRUE,FALSE,FALSE,FALSE
