id,miss_rate,n_trials,mean_arousal_overall,slope_hit_overall,slope_miss_overall,slope_hit_acc,slope_miss_acc,slope_hit_dec,slope_miss_dec,conf_acc_r,arousal_conf_r,arousal_salience_diff,MAIA_total,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionReg,MAIA_EmoAware,MAIA_SelfReg,MAIA_BodyListen,MAIA_Trusting,study
174,0,10,20,-14.376996805111819,NA,-29.68750000000002,NA,-2.9411764705882515,NA,NA,0.2916862122309707,NA,124,4,2.83333333333333,4,3.5714285714285694,3.8,3.25,2,2.66666666666667,Study1A
175,0.2,10,25.4,-11.874238362174017,NA,-119.99999999999994,NA,42.18749999999997,NA,0.40512953599551127,0.48733412289894473,NA,83,3.25,2.16666666666667,1.8,1.42857142857143,3.2,2,1.66666666666667,3,Study1A
176,0.3,10,20,-15.665480427046258,3.9699874815660704e-15,-113.33333333333321,NA,-19.999999999999943,NA,0.8586631701504972,0.313626142280048,NA,137,4.5,2.66666666666667,4.4,3.5714285714285694,4,4,2.66666666666667,4,Study1A
177,0.3,10,24.3,-8.221185876082618,-7.56756756756755,-13.33333333333335,NA,-7.272727272727288,NA,0.3683294629726381,-0.11776030079682895,NA,102,3.75,2,4,2.4285714285714306,3,2.25,2,2.66666666666667,Study1A
178,0.2,10,18,-12.015480797856494,NA,29.999999999999925,NA,18.333333333333343,NA,0.22976361796741857,0.493468322859794,NA,112,3.75,3.33333333333333,2.2,2.5714285714285694,4.6,2.5,1.33333333333333,3.6666666666666705,Study1A
179,0.2,10,19.8,-16.796691936595447,NA,27.272727272727334,NA,-219.99999999999918,NA,-0.07866459694094406,-0.017122278647758123,NA,102,3.75,2.83333333333333,3.2,2.71428571428571,3,1.75,1.66666666666667,2.66666666666667,Study1A
18,0.3,10,33.1,-14.660377358490571,-17.179487179487182,-74.99999999999999,NA,-96.66666666666659,NA,0.5780062250185214,-0.536920158214279,NA,124,3.75,3.33333333333333,2,3.5714285714285694,3.8,4,2,4.33333333333333,Study1A
180,0.5,10,18.5,-16.917768832662457,-5.473640856672159,-170,NA,NA,-68.57142857142867,0.6728281420951933,-0.06552061966550116,NA,129,3.5,3.16666666666667,3.2,3.4285714285714306,4.4,3.25,3,4,Study1A
181,0.2,10,10.9,2.6153846153846123,NA,44.99999999999998,NA,11.21212121212122,NA,0.5097593400669403,-0.47316807096012997,NA,118,3.75,3.6666666666666705,3.4,2.14285714285714,3.4,3,2,4.66666666666667,Study1A
19,0,10,25.4,-7.440633245382584,NA,-8.750000000000004,NA,10.000000000000002,NA,NA,-0.6347094050017149,NA,114,3,2.66666666666667,2.6,3.5714285714285694,3.4,3,3.6666666666666705,2.66666666666667,Study1A
2,0.6,10,25.3,2.037914691943128,0.018656716417909294,NA,-5.714285714285702,5.000000000000088,NA,-0.10950071996960069,0.3725290144345973,NA,124,3.5,3.16666666666667,3.4,2.85714285714286,4,3.5,2.66666666666667,4,Study1A
20,0.3,10,22.9,-27.440119760479046,-39.999999999999964,NA,-39.999999999999964,-8.823529411764728,NA,0.4243819689695085,-0.5014373056962275,NA,119,3.5,2.33333333333333,3.6,3.5714285714285694,3.2,3.5,2.33333333333333,3.6666666666666705,Study1A
21,0.4,10,13,0.766843162315137,1.1771630370806354,NA,5.71428571428573,13.636363636363642,NA,0.7599926306842233,0.09525304979502781,NA,132,4,3.16666666666667,2.4,3.85714285714286,4.4,3.5,3.6666666666666705,3.6666666666666705,Study1A
22,0.3,10,18.6,-14.156400642742357,6.721311475409834,159.99999999999972,NA,79.99999999999994,NA,0.44504317623290207,-0.010640406694246493,NA,106,4.25,2.16666666666667,3.8,2.71428571428571,2.6,1.75,2.33333333333333,3.6666666666666705,Study1A
23,0.2,10,23.5,0.882352941176474,NA,5.000000000000006,NA,NA,NA,0.27244821251673307,0.10638416785163297,NA,126,4.25,4.16666666666667,1.6,4.42857142857143,4,1.25,2.33333333333333,4.33333333333333,Study1A
24,0.3,10,25.6,-12.339572192513367,145.00000000000028,NA,145.00000000000028,68.3333333333333,NA,0.5390867749306301,0.29618458430902855,NA,127,4.5,4.5,2.4,3.4285714285714306,4.4,3.5,1,2.33333333333333,Study1A
25,0.2,10,8.8,-5.769784172661872,NA,NA,NA,0.38461538461538636,NA,0.9039899696513154,-0.4406162358524774,NA,100,1.75,2.16666666666667,4,3.28571428571429,2,2.5,1.66666666666667,4,Study1A
26,0.2,10,25.1,-3.0776628997355138,NA,NA,NA,18.74999999999989,NA,0.16833755221621258,-0.21053130000742215,NA,106,4.25,3.8333333333333295,3.4,2,2.4,1.25,3,3,Study1A
27,0.4,10,21.3,-9.070631970260214,49.090909090909115,NA,49.090909090909115,-2.500000000000001,NA,0.6102519967891951,-0.35840171542931903,NA,114,3.5,3,3.4,2.4285714285714306,3.8,2.5,2.66666666666667,3.6666666666666705,Study1A
28,0.2,10,29,7.133004926108376,NA,-1.363636363636365,NA,24.883720930232563,NA,0.07257701436809529,0.25429318596027056,NA,133,4.25,2.33333333333333,3.8,4.14285714285714,2.6,4.25,3.6666666666666705,4.33333333333333,Study1A
